X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
35;35;1;1;1;1;230;6;17
41;49;10;10;95;151;181;3;77
35;17;7;10;18;40;70;9;53
55;45;13;10;19;106;136;2;57
55;20;19;10;98;139;169;7;6
15;30;26;10;26;24;54;6;75
25;30;3;10;87;89;119;10;6
20;50;5;10;64;71;101;2;61
10;43;9;10;42;85;115;3;32
55;60;16;10;29;87;117;8;22
30;60;16;10;33;114;144;1;96
20;65;12;10;74;57;87;7;83
50;35;19;10;43;53;83;6;58
30;25;23;10;82;149;179;2;37
15;10;20;10;43;32;62;10;85
30;5;8;10;15;51;81;2;39
10;20;19;10;41;65;95;3;96
5;30;2;10;24;147;177;9;81
20;40;12;10;76;77;107;7;23
15;60;17;10;73;66;96;7;67
45;65;9;10;7;116;146;6;90
45;20;11;10;35;52;82;3;18
45;10;18;10;62;87;117;2;80
55;5;29;10;9;58;88;6;36
65;35;3;10;36;143;173;5;19
65;20;6;10;91;156;186;6;78
45;30;17;10;3;122;152;10;70
35;40;16;10;80;27;57;2;9
41;37;16;10;86;29;59;4;9
64;42;9;10;60;53;83;9;67
40;60;21;10;75;61;91;10;63
31;52;27;10;13;40;70;5;28
35;69;23;10;51;131;161;3;12
53;52;11;10;7;27;57;5;35
65;55;14;10;54;107;137;9;53
63;65;8;10;51;133;163;2;34
2;60;5;10;73;41;71;7;51
20;20;8;10;6;124;154;4;70
5;5;16;10;57;73;103;10;28
60;12;31;10;86;34;64;5;63
40;25;9;10;1;75;105;7;81
42;7;5;10;1;87;117;3;49
24;12;5;10;5;25;55;6;15
23;3;7;10;89;122;152;2;87
11;14;18;10;41;59;89;6;13
6;38;16;10;60;29;59;8;33
2;48;1;10;40;107;137;4;79
8;56;27;10;11;41;71;9;10
