X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
40;50;1;1;1;1;1236;2;45
45;68;10;90;60;912;967;9;75
45;70;30;90;48;825;870;9;33
42;66;10;90;29;65;146;3;74
42;68;10;90;47;727;782;10;78
42;65;10;90;15;15;67;1;15
40;69;20;90;53;621;702;10;76
40;66;20;90;91;170;225;3;48
38;68;20;90;61;255;324;2;85
38;70;10;90;19;534;605;2;51
35;66;10;90;54;357;410;6;86
35;69;10;90;77;448;505;7;41
25;85;20;90;77;652;721;1;82
22;75;30;90;73;30;92;7;69
22;85;10;90;62;567;620;7;76
20;80;40;90;95;384;429;8;88
20;85;40;90;44;475;528;10;54
18;75;20;90;84;99;148;8;45
15;75;20;90;75;179;254;9;20
15;80;10;90;41;278;345;8;57
30;50;10;90;20;10;73;6;29
30;52;20;90;43;914;965;1;88
28;52;20;90;88;812;883;1;77
28;55;10;90;24;732;777;1;61
25;50;10;90;47;65;144;4;23
25;52;40;90;52;169;224;8;36
25;55;10;90;60;622;701;10;41
23;52;10;90;3;261;316;10;88
23;55;20;90;82;546;593;2;55
20;50;10;90;92;358;405;1;30
20;55;10;90;23;449;504;10;31
10;35;20;90;45;200;237;1;73
10;40;30;90;45;31;100;8;13
8;40;40;90;37;87;158;4;31
8;45;20;90;87;751;816;4;23
5;35;10;90;2;283;344;8;18
5;45;10;90;62;665;716;3;89
2;40;20;90;25;383;434;3;30
0;40;30;90;53;479;522;7;36
0;45;20;90;38;567;624;6;28
35;30;10;90;35;264;321;10;49
35;32;10;90;60;166;235;8;61
33;32;20;90;75;68;149;1;15
33;35;10;90;55;16;80;6;17
32;30;10;90;30;359;412;2;79
30;30;10;90;98;541;600;7;74
30;32;30;90;91;448;509;3;44
30;35;10;90;74;1054;1127;2;74
