X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
44;5;20;90;16;286;347;4;48
42;10;40;90;46;186;257;8;79
42;15;10;90;7;95;158;3;23
40;5;30;90;16;385;436;6;14
40;15;40;90;8;35;87;7;12
38;5;30;90;37;471;534;2;72
38;15;10;90;43;651;740;3;22
35;5;20;90;47;562;629;3;33
50;30;10;90;87;531;610;6;72
50;35;20;90;88;262;317;7;77
50;40;50;90;5;171;218;6;86
48;30;10;90;58;632;693;8;36
48;40;10;90;8;76;129;5;27
47;35;10;90;17;826;875;6;39
47;40;10;90;51;12;77;7;63
45;30;10;90;18;734;777;5;53
45;35;10;90;58;916;969;9;56
95;30;30;90;18;387;456;4;39
95;35;20;90;38;293;360;3;74
53;30;10;90;72;450;505;5;11
92;30;10;90;57;478;551;4;28
53;35;50;90;51;353;412;6;49
45;65;20;90;26;997;1068;1;35
90;35;10;90;80;203;260;6;46
88;30;10;90;97;574;643;3;19
88;35;20;90;62;109;170;9;45
87;30;10;90;35;668;731;4;90
85;25;10;90;20;769;820;10;52
85;35;30;90;67;47;124;10;33
75;55;20;90;73;369;420;1;57
72;55;10;90;17;265;338;9;22
70;58;20;90;69;458;523;4;88
68;60;30;90;5;555;612;8;34
66;55;10;90;52;173;238;9;53
65;55;20;90;89;85;144;6;62
65;60;30;90;43;645;708;2;73
63;58;10;90;1;737;802;8;45
60;55;10;90;41;20;84;2;15
60;60;10;90;23;836;889;2;45
67;85;20;90;80;368;441;8;68
65;85;40;90;68;475;518;8;65
65;82;10;90;14;285;336;2;79
62;80;30;90;16;196;239;10;17
60;80;10;90;23;95;156;5;28
60;85;30;90;57;561;622;10;12
58;75;20;90;22;30;84;5;76
55;80;10;90;5;743;820;9;55
55;85;20;90;71;647;726;8;38
