X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
-10;19;1;1;1;1;1000;8;88
-29;64;12;2;46;354;509;7;28
-30;5;8;7;44;234;401;10;25
51;5;16;21;72;411;573;2;78
-13;69;5;24;65;474;622;5;57
-67;68;12;1;35;155;295;5;77
48;6;5;17;82;361;509;4;39
5;22;13;6;27;451;629;1;53
-65;77;20;5;22;425;588;5;38
-4;-1;13;7;53;72;199;3;65
23;11;18;1;50;157;318;3;44
25;6;7;4;63;296;444;7;24
-42;-26;6;10;60;111;249;4;49
-76;99;9;2;11;368;528;2;50
-20;57;9;16;93;98;251;7;81
-52;6;4;23;57;96;208;8;84
-41;50;25;18;36;382;535;3;70
-91;27;5;3;42;436;580;2;18
-65;30;17;15;88;405;528;4;27
18;96;3;13;55;255;414;2;51
-40;83;16;10;27;293;470;3;30
-37;-33;25;4;81;298;408;7;41
23;29;21;23;40;479;607;4;64
-43;20;14;20;44;376;536;4;64
-35;-24;19;10;83;91;238;9;18
-54;14;14;4;11;360;505;9;87
-49;33;6;2;40;379;528;2;18
57;23;16;23;27;258;428;6;29
-22;55;9;6;51;352;509;1;26
-56;73;20;8;3;288;380;9;54
-38;-3;13;10;61;159;324;10;48
-16;19;10;7;23;423;564;3;50
-11;11;16;1;63;238;387;4;37
-46;97;19;21;53;339;429;5;57
16;9;22;6;47;397;572;8;32
1;7;14;4;51;479;599;6;33
-26;29;10;13;83;315;492;4;20
4;14;11;9;57;132;290;2;42
-50;-23;15;22;63;161;326;1;30
-22;-9;13;22;23;387;508;9;70
-71;-18;15;18;38;284;446;2;15
-7;32;8;10;0;296;471;2;70
11;-24;22;25;21;381;482;3;24
-18;-23;24;23;91;401;522;3;90
-11;11;3;4;87;432;564;8;88
29;11;25;9;23;289;450;8;44
12;-55;19;17;85;451;597;4;36
-37;-21;21;10;94;123;302;1;19
