X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
35;35;1;1;1;1;230;2;46
41;49;10;10;40;1;204;4;26
35;17;7;10;56;1;202;10;33
55;45;13;10;20;1;197;8;43
55;20;19;10;55;139;169;10;56
15;30;26;10;57;1;199;6;37
25;30;3;10;15;1;208;1;55
20;50;5;10;72;1;198;6;85
10;43;9;10;31;85;115;6;15
55;60;16;10;63;87;117;9;76
30;60;16;10;87;0;194;9;44
20;65;12;10;33;57;87;6;41
50;35;19;10;49;0;205;7;54
30;25;23;10;76;149;179;8;72
15;10;20;10;89;0;187;6;56
30;5;8;10;58;51;81;10;61
10;20;19;10;81;1;190;2;59
5;30;2;10;35;1;189;6;52
20;40;12;10;31;1;204;8;88
15;60;17;10;6;1;187;6;60
45;65;9;10;14;1;188;1;12
45;20;11;10;47;1;201;4;12
45;10;18;10;93;1;193;2;30
55;5;29;10;0;58;88;3;73
65;35;3;10;35;1;190;5;88
65;20;6;10;74;156;186;3;26
45;30;17;10;53;1;208;7;57
35;40;16;10;82;1;215;7;28
41;37;16;10;62;1;213;9;19
64;42;9;10;10;1;190;7;45
40;60;21;10;25;1;194;3;88
31;52;27;10;8;1;202;9;53
35;69;23;10;65;1;186;1;44
53;52;11;10;10;1;195;5;30
65;55;14;10;81;1;183;8;44
63;65;8;10;75;1;178;1;64
2;60;5;10;55;1;178;9;33
20;20;8;10;31;1;198;9;90
5;5;16;10;65;73;103;7;61
60;12;31;10;73;1;186;2;55
40;25;9;10;42;1;208;4;20
42;7;5;10;61;1;191;7;77
24;12;5;10;56;1;194;1;22
23;3;7;10;27;1;185;9;61
11;14;18;10;51;59;89;2;14
6;38;16;10;53;1;190;6;50
2;48;1;10;59;1;184;4;47
8;56;27;10;1;1;185;1;53
13;52;36;10;80;1;192;7;20
6;68;30;10;92;1;176;7;62
47;47;13;10;53;1;203;9;26
49;58;10;10;71;1;193;9;75
27;43;9;10;70;1;208;7;74
37;31;14;10;37;85;115;6;66
57;29;18;10;88;1;197;2;82
63;23;2;10;50;126;156;2;42
53;12;6;10;44;1;190;4;45
32;12;7;10;20;0;196;10;32
36;26;18;10;50;180;210;6;43
21;24;28;10;15;1;202;7;64
17;34;3;10;99;1;201;5;33
12;24;13;10;51;1;194;8;82
24;58;19;10;54;48;78;6;72
27;69;10;10;4;1;185;2;20
15;77;9;10;4;1;173;9;84
62;77;20;10;27;1;170;3;35
49;73;25;10;65;1;179;5;61
67;5;25;10;8;73;103;3;66
56;39;36;10;80;1;198;2;82
37;47;6;10;68;40;70;10;16
37;56;5;10;74;1;198;10;52
57;68;15;10;88;1;180;6;42
47;16;25;10;15;1;197;7;81
44;17;9;10;40;1;199;7;55
46;13;8;10;66;139;169;8;87
49;11;18;10;19;0;192;10;20
49;42;13;10;92;63;93;7;34
53;43;14;10;61;169;199;9;23
61;52;3;10;36;0;188;1;70
57;48;23;10;32;82;112;5;17
56;37;6;10;13;0;198;8;69
55;54;26;10;18;0;192;2;61
15;47;16;10;61;0;196;10;80
14;37;11;10;28;0;198;8;11
11;31;7;10;54;91;121;8;52
16;22;41;10;55;0;196;2;86
4;18;35;10;43;0;184;3;68
28;18;26;10;19;83;113;5;89
26;52;9;10;5;0;200;8;57
26;35;15;10;56;0;211;7;53
31;67;3;10;66;0;187;1;18
15;19;1;10;56;0;194;8;78
22;22;2;10;38;18;48;2;14
18;24;22;10;73;0;199;2;72
26;27;27;10;44;0;207;1;19
25;24;20;10;41;0;205;10;29
22;27;11;10;64;0;204;10;21
25;21;12;10;15;0;202;1;55
19;21;10;10;86;0;198;10;15
20;26;9;10;54;73;103;1;59
