X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
8;-10;30;1;1;1;1000;2;46
65;-49;10;20;26;396;492;4;26
-36;-36;25;20;61;176;346;10;33
-2;18;18;13;99;212;304;8;43
31;-35;16;13;10;157;266;10;56
2;8;14;17;0;345;455;6;37
31;43;7;24;50;242;375;1;55
-36;-21;9;15;29;383;506;6;85
52;35;16;12;97;99;261;6;15
11;20;24;20;13;440;592;9;76
0;23;6;20;38;213;324;9;44
43;-12;22;3;81;280;388;6;41
6;19;11;8;21;343;508;7;54
-6;25;19;16;18;339;500;8;72
-27;-23;20;20;52;325;471;6;56
33;-30;20;21;50;437;573;10;61
63;-52;16;23;92;154;307;2;59
-13;-43;5;21;64;155;269;6;52
0;-27;21;3;92;290;405;8;88
59;-49;19;19;6;447;579;6;60
27;-5;18;20;87;370;469;1;12
70;-20;22;7;76;382;545;4;12
35;-65;19;14;98;221;313;2;30
-14;-42;15;24;1;338;483;3;73
19;30;24;3;31;94;197;5;88
-39;10;20;13;1;98;190;3;26
-15;-40;17;1;62;231;344;7;57
-28;-40;20;5;40;216;349;7;28
27;9;12;2;41;470;563;9;19
22;-9;23;9;43;150;300;7;45
0;-6;15;18;50;408;565;3;88
10;75;19;5;16;276;414;9;53
7;18;23;12;23;429;603;1;44
48;-20;9;11;28;415;538;5;30
-18;-29;21;17;89;314;469;8;44
16;-6;17;21;6;344;491;1;64
2;-30;6;5;64;367;486;9;33
15;4;10;5;15;356;503;9;90
60;89;9;7;85;110;236;7;61
40;-45;19;24;8;202;347;2;55
-26;-54;17;1;99;298;451;4;20
69;72;22;12;18;376;492;7;77
-22;46;8;6;13;375;544;1;22
-14;-30;25;5;85;279;416;9;61
76;12;13;19;83;70;219;2;14
63;60;1;23;22;174;286;6;50
-20;-81;15;8;65;184;311;4;47
-41;-42;16;1;33;199;292;1;53
79;-29;20;20;64;354;471;7;20
-20;-7;14;16;53;414;567;7;62
-4;-53;2;8;62;178;268;9;26
39;-40;5;16;64;202;318;9;75
-47;-77;16;25;21;233;335;7;74
-1;49;12;5;2;132;281;6;66
0;-27;1;10;37;125;258;2;82
31;-8;15;24;48;427;535;2;42
0;-20;5;16;4;191;297;4;45
66;-26;9;7;24;400;567;10;32
6;-64;8;14;56;201;363;6;43
13;-20;2;11;35;133;310;7;64
54;-6;10;15;18;429;574;5;33
22;-34;25;23;6;374;468;8;82
-9;4;24;5;46;121;292;6;72
-11;-46;7;16;16;232;333;2;20
-2;0;14;13;64;396;549;9;84
13;-44;3;18;13;426;577;3;35
17;27;23;14;57;324;483;5;61
2;-43;21;3;27;306;473;3;66
-44;-38;13;22;99;355;454;2;82
-59;1;15;16;17;192;367;10;16
-13;-75;14;16;98;153;331;10;52
-5;-51;7;2;0;194;354;6;42
-9;-26;20;19;75;391;535;7;81
19;29;6;23;58;334;441;7;55
26;36;24;6;92;196;338;8;87
43;-28;17;11;64;268;446;10;20
-52;-35;3;19;9;197;300;7;34
-8;0;15;3;73;69;220;9;23
89;62;6;14;9;364;486;1;70
6;-16;21;14;34;391;527;5;17
27;-5;25;19;86;66;185;8;69
27;-15;18;3;14;84;247;2;61
42;32;1;18;58;444;577;10;80
25;12;19;24;69;90;209;8;11
47;-12;17;6;12;162;267;8;52
-3;-13;20;1;13;373;522;2;86
12;-78;1;3;1;171;302;3;68
-21;-3;13;15;99;351;475;5;89
-3;-55;25;18;99;142;266;8;57
53;84;16;5;22;118;283;7;53
35;-47;5;23;90;98;243;1;18
43;-18;18;10;95;318;439;8;78
6;-54;17;20;93;422;590;2;14
87;94;15;11;63;456;622;2;72
39;-48;13;16;39;306;466;1;19
-48;-26;15;15;65;255;393;10;29
72;-9;2;19;24;439;596;10;21
-37;3;1;4;69;474;628;1;55
-65;-36;9;14;41;323;455;10;15
-16;-35;16;23;54;235;349;1;59
10;-4;6;11;13;224;368;2;46
15;-5;18;21;82;291;386;4;26
21;-18;24;14;57;250;370;10;33
9;49;24;16;51;471;616;8;43
94;-4;9;25;7;246;357;10;56
10;-16;19;17;97;308;440;6;37
-1;0;12;16;4;160;264;1;55
-6;25;22;13;42;329;461;6;85
-6;10;13;23;69;356;511;6;15
-17;-70;20;10;53;410;532;9;76
-55;-43;25;2;64;275;454;9;44
-9;23;1;15;11;233;331;6;41
8;35;24;14;57;367;534;7;54
-16;0;10;22;77;364;460;8;72
66;-37;22;15;19;259;429;6;56
14;-23;14;16;70;146;314;10;61
33;20;12;12;94;155;245;2;59
66;-70;23;14;21;178;310;6;52
-5;8;14;15;81;133;300;8;88
-5;-46;23;11;3;115;265;6;60
-8;55;25;11;81;129;240;1;12
5;-3;5;4;53;399;562;4;12
-25;-37;7;23;50;303;418;2;30
-15;-24;25;13;0;330;448;3;73
43;-11;11;22;48;394;572;5;88
17;-25;18;17;51;259;358;3;26
-39;54;18;2;89;267;417;7;57
-24;-43;1;5;35;297;446;7;28
-26;-12;7;14;36;269;442;9;19
34;-38;22;1;43;394;545;7;45
-47;-29;7;13;73;219;378;3;88
49;-25;3;8;66;477;648;9;53
3;-16;18;24;25;289;410;1;44
22;-23;8;12;67;463;584;5;30
-37;-29;6;23;51;74;175;8;44
25;3;7;1;56;92;213;1;64
-15;3;20;2;20;360;523;9;33
-12;-7;10;8;97;80;234;9;90
-22;26;2;18;85;122;296;7;61
-17;7;3;14;62;339;469;2;55
-21;14;10;23;21;390;506;4;20
3;-19;5;14;65;112;207;7;77
32;-14;25;4;54;374;492;1;22
-5;-28;23;24;55;411;532;9;61
-6;-39;21;9;90;442;578;2;14
-2;12;13;15;15;144;272;6;50
-6;8;1;10;94;265;439;4;47
-37;-36;11;3;95;190;346;1;53
10;-18;6;12;9;423;595;7;20
50;8;9;6;31;91;201;7;62
46;4;17;1;10;418;513;9;26
19;-10;13;24;82;356;449;9;75
-38;52;23;3;86;127;282;7;74
0;-21;19;4;49;79;179;6;66
40;-33;11;7;21;144;312;2;82
0;-62;12;21;61;358;450;2;42
-9;26;18;1;45;82;226;4;45
34;-23;25;24;96;273;391;10;32
29;-24;13;5;93;357;473;6;43
16;-58;24;23;14;102;268;7;64
61;-15;5;5;63;227;369;5;33
40;-9;14;17;71;230;345;8;82
0;-4;18;24;13;129;229;6;72
-8;-43;25;23;12;331;450;2;20
-7;-57;11;3;51;234;357;9;84
7;-21;18;5;50;306;461;3;35
3;7;23;22;95;344;474;5;61
-15;92;22;9;43;429;583;3;66
84;-24;20;23;2;182;278;2;82
-52;30;11;15;99;61;152;10;16
7;13;11;15;67;148;302;10;52
-21;30;19;11;97;380;543;6;42
36;29;13;20;91;349;462;7;81
12;-40;24;10;84;403;497;7;55
-17;-10;6;24;24;70;234;8;87
-10;12;5;10;71;146;274;10;20
-15;-59;24;6;41;106;231;7;34
29;-2;7;22;58;205;325;9;23
-12;-58;13;25;92;476;639;1;70
-17;-35;25;11;95;254;364;5;17
57;-50;15;6;35;123;275;8;69
26;17;15;9;81;447;588;2;61
-6;-8;16;6;18;382;555;10;80
16;-16;5;12;50;240;418;8;11
83;-32;15;4;5;318;436;8;52
12;34;24;24;79;308;448;2;86
15;67;15;18;47;423;597;3;68
25;-5;9;3;47;382;487;5;89
13;-14;19;18;23;272;442;8;57
48;-5;15;17;19;359;496;7;53
13;19;2;23;82;299;473;1;18
-18;65;3;10;7;463;640;8;78
17;38;18;22;47;443;584;2;14
37;-16;20;5;98;238;394;2;72
47;-30;14;16;49;381;510;1;19
38;36;10;10;20;142;284;10;29
-16;-42;6;10;59;373;483;10;21
28;-1;17;9;40;469;611;1;55
-5;-1;20;5;90;313;489;10;15
60;63;3;9;80;123;301;1;59
63;-47;14;12;48;209;320;2;46
-15;-23;12;16;86;456;632;4;26
-2;0;2;8;34;91;256;10;33
32;-10;11;1;40;329;421;8;43
-18;-25;16;1;41;75;213;10;56
-3;25;18;18;92;198;298;6;37
10;22;14;22;98;242;379;1;55
1;-3;6;20;30;124;298;6;85
-25;-12;12;4;74;225;322;6;15
56;-75;21;15;66;277;435;9;76
13;-36;1;7;39;273;382;9;44
32;-29;18;25;96;162;263;6;41
4;-7;17;3;34;307;453;7;54
11;-8;15;22;60;108;257;8;72
17;-24;4;5;44;431;598;6;56
-33;-41;18;1;18;401;534;10;61
-32;-50;22;9;43;254;431;2;59
23;-14;16;16;11;342;477;6;52
-21;-39;14;23;79;468;609;8;88
32;77;25;5;66;171;344;6;60
13;-76;15;5;62;282;419;1;12
-8;-21;6;6;68;170;282;4;12
25;46;7;16;93;448;567;2;30
49;-54;21;25;84;283;407;3;73
63;-8;3;1;9;418;529;5;88
2;-5;15;25;44;464;621;3;26
52;29;24;17;61;251;359;7;57
9;-16;2;11;82;468;577;7;28
34;-96;17;24;90;390;563;9;19
-21;-41;2;10;2;132;295;7;45
28;10;25;12;91;282;442;3;88
16;-22;15;17;92;123;290;9;53
-36;-34;3;18;99;310;401;1;44
-27;-50;1;5;59;416;561;5;30
-53;11;1;16;70;438;538;8;44
26;-5;20;9;88;268;447;1;64
-31;34;19;6;46;461;600;9;33
-14;-31;2;1;64;305;440;9;90
-4;-30;9;4;94;298;471;7;61
-18;-29;4;20;72;404;582;2;55
-17;-19;16;19;24;194;345;4;20
