X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
40;50;1;1;1;1;1236;6;67
45;68;10;90;73;0;1127;10;17
45;70;30;90;11;0;1125;2;73
42;66;10;90;76;0;1129;9;16
42;68;10;90;13;727;782;6;32
42;65;10;90;96;0;1130;6;51
40;69;20;90;29;0;1127;8;37
40;66;20;90;3;0;1130;10;42
38;68;20;90;28;255;324;5;86
38;70;10;90;78;534;605;8;20
35;66;10;90;63;0;1129;3;55
35;69;10;90;19;448;505;8;78
25;85;20;90;89;0;1107;1;18
22;75;30;90;65;30;92;2;51
22;85;10;90;20;0;1106;1;57
20;80;40;90;41;384;429;8;57
20;85;40;90;71;0;1105;5;29
18;75;20;90;38;0;1112;4;87
15;75;20;90;62;0;1110;5;15
15;80;10;90;32;0;1106;3;55
30;50;10;90;65;0;1136;10;16
30;52;20;90;72;0;1135;10;86
28;52;20;90;98;0;1133;4;52
28;55;10;90;88;732;777;3;41
25;50;10;90;66;0;1131;8;87
25;52;40;90;81;169;224;2;45
25;55;10;90;68;0;1130;8;80
23;52;10;90;94;0;1128;6;24
23;55;20;90;55;0;1128;9;77
20;50;10;90;47;0;1126;9;15
20;55;10;90;33;0;1125;8;12
10;35;20;90;39;0;1112;2;45
10;40;30;90;22;0;1114;7;64
8;40;40;90;78;0;1112;1;49
8;45;20;90;46;0;1113;7;37
5;35;10;90;58;0;1107;1;67
5;45;10;90;72;0;1110;7;37
2;40;20;90;17;0;1106;6;20
0;40;30;90;54;479;522;9;34
0;45;20;90;77;0;1105;6;50
35;30;10;90;85;0;1125;5;53
35;32;10;90;51;0;1127;5;56
33;32;20;90;67;0;1126;10;71
33;35;10;90;8;0;1129;3;21
32;30;10;90;23;359;412;10;33
30;30;10;90;68;0;1123;5;25
30;32;30;90;62;0;1125;10;43
30;35;10;90;92;0;1127;7;43
28;30;10;90;9;0;1122;6;51
28;35;10;90;81;0;1126;9;48
26;32;10;90;81;0;1123;7;44
25;30;10;90;51;0;1121;9;25
25;35;10;90;91;0;1124;6;15
44;5;20;90;59;286;347;4;11
42;10;40;90;51;0;1105;10;52
42;15;10;90;53;95;158;7;46
40;5;30;90;72;0;1101;4;29
40;15;40;90;93;0;1111;4;87
38;5;30;90;51;471;534;9;55
38;15;10;90;69;0;1110;10;85
35;5;20;90;92;0;1100;10;24
50;30;10;90;24;0;1123;6;90
50;35;20;90;89;262;317;4;69
50;40;50;90;14;0;1131;8;61
48;30;10;90;48;0;1124;9;19
48;40;10;90;88;0;1133;9;14
47;35;10;90;3;0;1129;6;51
47;40;10;90;84;12;77;8;63
45;30;10;90;70;0;1125;6;73
45;35;10;90;91;916;969;10;35
95;30;30;90;39;0;1087;3;80
95;35;20;90;51;0;1088;9;61
53;30;10;90;46;0;1122;8;23
92;30;10;90;78;0;1090;5;44
53;35;50;90;3;353;412;10;73
45;65;20;90;65;0;1130;5;22
90;35;10;90;43;203;260;4;38
88;30;10;90;8;574;643;1;37
88;35;20;90;89;0;1095;8;42
87;30;10;90;93;668;731;5;89
85;25;10;90;7;0;1094;2;34
85;35;30;90;10;0;1098;3;17
75;55;20;90;65;0;1110;8;66
72;55;10;90;32;0;1113;10;30
70;58;20;90;23;458;523;4;38
68;60;30;90;33;0;1116;7;80
66;55;10;90;62;0;1119;7;10
65;55;20;90;49;85;144;2;23
65;60;30;90;27;0;1119;4;67
63;58;10;90;55;0;1121;3;25
60;55;10;90;72;0;1125;9;22
60;60;10;90;6;0;1123;4;27
67;85;20;90;27;368;441;2;76
65;85;40;90;33;0;1102;1;48
65;82;10;90;21;0;1105;7;81
62;80;30;90;97;0;1108;1;18
60;80;10;90;19;0;1109;1;80
60;85;30;90;3;0;1105;10;18
58;75;20;90;5;0;1115;1;63
55;80;10;90;81;743;820;9;45
55;85;20;90;41;647;726;7;80
