X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
-18;1;1;1;1;1;1000;3;11
-55;-24;9;25;73;392;514;4;17
-48;53;22;13;2;310;452;9;85
-49;-38;10;20;29;453;612;9;67
25;-18;24;16;16;472;605;4;25
-24;-3;25;4;99;169;267;5;41
24;-17;6;2;35;154;274;7;46
-10;60;22;7;98;97;266;3;78
38;-35;1;15;62;286;386;8;59
-68;93;19;10;69;185;293;3;88
-30;-57;19;4;85;467;596;9;14
-37;-12;5;19;68;346;436;10;15
-15;-47;9;10;31;455;604;4;73
-63;-22;8;15;46;277;404;5;80
-43;-43;14;4;21;436;562;6;10
-25;13;4;17;26;88;208;4;27
-2;16;7;4;42;301;440;5;54
-41;-28;10;3;85;144;253;1;55
2;12;22;9;90;396;519;4;66
3;-47;17;25;16;433;533;6;52
-83;26;10;14;80;203;363;1;53
-6;26;8;23;59;376;486;9;31
3;6;14;7;19;370;506;10;46
-34;30;12;7;21;244;335;3;29
15;-36;17;1;93;320;413;6;44
12;5;19;10;59;473;631;8;35
-48;-24;25;15;52;242;420;9;89
-88;-10;25;1;3;445;539;9;29
-29;0;6;2;20;105;217;8;62
9;38;21;9;27;193;359;5;49
1;92;3;10;21;292;388;6;44
-79;15;19;2;15;287;439;3;52
-30;40;16;23;35;285;422;9;84
18;21;21;15;59;409;557;2;51
45;-59;17;13;79;417;580;3;42
-34;-3;19;16;75;290;428;1;71
81;-74;6;21;15;169;299;7;50
15;-28;10;1;70;145;251;9;44
-72;29;22;18;5;147;241;4;16
-42;-22;17;17;62;87;189;10;47
-76;-57;16;13;36;362;516;9;21
-28;12;5;5;65;273;407;10;59
-61;26;1;23;48;279;429;7;32
-8;12;21;20;50;418;547;2;34
-61;33;20;1;57;388;494;10;78
-34;-27;6;2;40;442;544;4;38
10;-12;1;15;92;269;397;7;89
-83;77;11;20;57;451;578;8;84
-40;49;22;9;52;463;582;10;90
83;33;25;13;8;152;249;10;50
-20;-75;18;4;51;182;272;10;12
15;-18;9;15;90;91;195;6;64
-59;-65;23;5;17;269;447;6;77
5;47;17;8;7;198;375;3;27
46;14;4;19;7;76;213;3;61
82;-1;1;16;36;134;254;8;66
39;-38;14;11;26;201;339;2;38
90;-83;11;23;67;274;432;9;40
7;0;7;14;29;167;288;6;80
18;40;21;24;41;270;448;2;11
-80;58;3;5;71;460;595;1;33
64;-62;18;5;42;318;471;8;82
-43;-26;5;23;80;111;234;9;79
-18;10;6;3;45;400;558;5;74
-43;63;22;10;27;91;214;8;24
11;26;13;23;52;109;269;5;73
-6;38;17;23;53;324;468;2;80
74;-34;5;20;90;203;335;7;87
14;0;7;5;99;176;350;7;64
-94;-48;1;14;79;86;216;8;62
15;-42;3;1;37;315;416;8;38
-46;-16;10;10;32;355;448;7;54
0;-81;5;3;66;243;422;1;75
-37;-42;1;4;51;420;577;7;78
-3;-69;17;23;12;324;457;3;66
34;-20;14;21;86;311;475;4;83
45;51;4;3;99;92;212;8;89
-31;88;10;21;54;470;635;9;81
-13;-26;25;25;53;390;515;3;68
12;-48;11;5;11;253;373;9;52
-46;-38;16;11;67;304;411;3;71
-29;35;25;10;91;269;438;7;62
13;43;20;5;46;204;370;8;17
38;-46;3;3;28;456;571;4;20
-26;24;7;13;59;182;273;1;31
90;-43;2;19;71;293;412;3;47
-6;22;6;13;20;170;317;5;28
-29;-28;14;8;35;183;276;6;25
-56;-64;14;13;66;251;400;1;26
-87;90;2;15;73;325;460;8;68
-5;54;15;10;88;315;416;2;14
-34;-27;22;4;9;310;441;3;15
-16;16;4;23;99;95;266;10;70
23;29;22;23;27;378;526;3;67
-40;46;19;14;89;406;545;6;85
-53;-21;5;20;25;436;535;8;31
-17;37;10;3;3;334;461;10;83
-37;56;4;5;31;292;411;3;50
71;22;7;16;50;430;575;10;13
-41;27;11;21;99;141;299;5;41
14;-82;14;4;42;355;532;2;28
30;-55;2;2;68;135;238;4;55
-39;47;12;11;43;193;321;9;47
-94;15;12;15;49;192;322;3;53
-7;11;24;16;16;185;291;8;30
28;-49;8;3;34;115;286;1;33
-20;24;4;21;72;111;284;5;84
-30;-18;25;21;21;339;493;3;37
1;-20;6;25;87;214;351;4;67
-31;-21;9;12;60;452;553;9;32
-85;-28;23;21;94;282;419;6;53
58;-63;15;6;97;412;532;7;27
-15;-52;7;2;48;447;603;8;41
-71;51;6;24;95;350;524;10;52
-92;-6;5;21;31;337;456;2;80
33;-49;12;24;37;110;235;9;19
59;54;3;11;60;119;268;4;38
30;-28;22;12;41;280;396;8;15
-55;18;18;22;29;82;214;1;13
-89;-39;16;19;62;418;574;4;28
36;20;5;8;0;201;320;9;57
-53;-56;1;9;21;429;580;4;41
-31;32;8;10;46;90;190;1;41
5;12;20;5;53;353;511;8;34
-52;42;17;14;81;394;537;2;48
47;-45;11;7;47;358;455;5;51
30;9;8;5;59;131;274;4;25
-45;-56;15;22;26;369;520;5;49
10;13;16;5;26;270;449;10;45
-32;-34;6;1;13;287;408;2;83
-40;30;24;9;24;85;177;1;40
-69;80;10;16;42;258;352;9;69
-58;-29;4;14;43;356;450;7;55
-36;-33;10;21;67;226;318;5;22
-21;65;17;8;68;363;482;8;52
22;-41;5;7;36;359;512;10;11
-77;59;14;24;48;232;408;2;52
-47;67;16;24;84;315;442;4;81
-21;35;11;16;46;196;335;3;21
-55;-31;25;4;15;187;288;6;16
-85;88;4;7;71;354;500;6;84
-3;-63;12;13;33;270;374;9;49
-58;59;19;25;55;474;617;10;23
-24;14;6;10;98;375;476;1;11
-48;16;23;24;7;464;559;2;24
