X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
10;9;1;1;1;1;1000;2;15
-92;-59;20;8;62;397;571;2;51
71;12;6;15;26;110;249;2;79
31;66;19;20;28;301;449;8;77
-4;25;10;7;93;209;306;6;22
-30;67;18;13;54;223;383;1;43
12;-57;1;6;62;286;425;3;59
-32;-20;15;5;85;106;207;7;81
19;48;23;1;82;426;574;8;14
13;-19;13;12;39;147;321;5;76
54;-41;12;18;48;296;398;1;90
15;-25;7;25;34;247;409;10;38
-50;-16;25;14;88;77;205;4;48
-29;17;5;18;0;370;504;3;89
17;1;1;13;48;269;380;3;70
11;77;25;6;26;402;546;3;17
33;71;10;14;26;81;241;7;20
-56;-10;2;10;32;370;486;8;40
57;-16;7;18;81;237;348;3;30
10;-18;11;8;82;455;604;4;75
53;-18;4;6;94;244;357;3;34
1;7;6;2;22;385;484;4;45
31;48;15;4;22;146;261;9;79
-66;-37;7;4;36;175;303;2;33
-70;62;8;23;43;191;299;10;63
32;23;10;12;29;120;269;3;58
-51;-36;9;24;91;435;561;5;16
36;-22;4;17;66;311;463;8;47
-31;43;6;18;32;442;571;5;20
-10;34;22;25;50;129;271;8;76
14;-10;17;22;29;256;399;6;42
47;-21;9;10;77;60;191;8;85
43;34;25;25;19;291;438;5;51
53;-67;10;21;65;418;529;6;20
26;46;18;21;12;472;622;5;63
63;11;21;16;41;161;312;5;17
47;-5;10;23;78;466;624;8;31
-16;-11;23;21;56;462;584;6;48
78;17;23;15;3;92;188;3;65
79;22;11;7;81;259;426;8;67
12;16;1;20;52;477;585;2;65
-67;-3;23;6;52;217;369;8;25
9;-18;16;16;68;423;556;3;24
-35;-19;10;10;82;210;351;8;24
28;45;12;7;88;330;500;5;37
11;68;12;20;93;461;578;3;90
-22;45;3;9;89;141;267;2;52
-65;-23;22;12;38;282;448;1;49
7;1;21;10;36;299;416;6;70
-29;-11;13;19;97;335;426;7;72
-89;16;15;6;35;176;311;7;67
-46;-3;13;14;99;257;379;10;22
-14;30;20;23;22;425;534;4;67
-17;49;10;8;65;99;234;5;86
31;53;25;10;1;360;535;5;18
-3;13;7;14;60;363;510;6;17
33;58;15;3;40;186;320;4;62
-92;63;2;25;55;253;379;4;20
-9;-22;23;21;69;428;565;4;66
-39;6;5;5;99;275;451;7;16
28;-19;25;2;29;414;564;8;36
-28;-3;9;3;37;402;511;9;69
31;36;2;21;31;337;486;5;83
-49;60;24;1;76;359;476;7;89
-72;-27;13;25;48;338;461;1;80
60;-45;20;21;55;375;476;4;69
10;-3;13;21;15;324;445;10;44
25;7;15;25;47;147;242;8;33
-46;-17;4;14;69;234;386;9;78
16;33;20;20;65;244;397;3;56
25;-11;8;14;6;282;453;4;15
68;-5;19;11;4;324;473;2;28
-13;62;20;25;82;465;592;10;80
