X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
40;50;1;1;1;1;1236;10;72
45;68;10;90;53;0;1127;2;16
45;70;30;90;36;0;1125;4;20
42;66;10;90;77;0;1129;6;30
42;68;10;90;83;727;782;6;22
42;65;10;90;39;0;1130;10;53
40;69;20;90;7;621;702;10;58
40;66;20;90;69;0;1130;2;81
38;68;20;90;85;255;324;7;41
38;70;10;90;25;534;605;6;90
35;66;10;90;53;357;410;2;59
35;69;10;90;56;448;505;2;29
25;85;20;90;29;0;1107;10;52
22;75;30;90;12;30;92;7;10
22;85;10;90;29;0;1106;2;21
20;80;40;90;95;384;429;5;59
20;85;40;90;3;0;1105;10;64
18;75;20;90;72;99;148;4;39
15;75;20;90;25;0;1110;4;15
15;80;10;90;9;0;1106;6;38
30;50;10;90;1;0;1136;1;20
30;52;20;90;36;0;1135;2;50
28;52;20;90;77;812;883;10;77
28;55;10;90;84;732;777;8;52
25;50;10;90;61;0;1131;4;79
25;52;40;90;38;169;224;5;48
25;55;10;90;29;0;1130;4;48
23;52;10;90;10;261;316;10;85
23;55;20;90;49;0;1128;9;47
20;50;10;90;96;0;1126;9;54
20;55;10;90;65;449;504;7;32
10;35;20;90;87;0;1112;1;45
10;40;30;90;45;0;1114;9;88
8;40;40;90;82;87;158;8;44
8;45;20;90;19;0;1113;8;77
5;35;10;90;20;283;344;3;83
5;45;10;90;27;665;716;10;82
2;40;20;90;64;0;1106;4;88
0;40;30;90;65;479;522;2;77
0;45;20;90;64;567;624;3;35
35;30;10;90;24;264;321;2;41
35;32;10;90;93;166;235;5;11
33;32;20;90;46;68;149;7;16
33;35;10;90;63;0;1129;4;20
32;30;10;90;71;359;412;9;71
30;30;10;90;98;541;600;1;35
30;32;30;90;40;0;1125;2;80
30;35;10;90;23;0;1127;6;59
28;30;10;90;73;0;1122;1;13
28;35;10;90;21;1001;1066;5;10
26;32;10;90;25;0;1123;10;89
25;30;10;90;91;0;1121;2;88
25;35;10;90;0;0;1124;6;13
44;5;20;90;97;286;347;10;58
42;10;40;90;47;0;1105;4;44
42;15;10;90;84;95;158;1;46
40;5;30;90;44;385;436;10;25
40;15;40;90;82;0;1111;8;44
38;5;30;90;84;471;534;9;84
38;15;10;90;24;0;1110;5;89
35;5;20;90;32;0;1100;9;48
50;30;10;90;26;0;1123;3;49
50;35;20;90;34;262;317;7;29
50;40;50;90;29;0;1131;9;78
48;30;10;90;61;632;693;5;19
48;40;10;90;59;76;129;8;90
47;35;10;90;52;826;875;2;51
47;40;10;90;86;12;77;2;50
45;30;10;90;86;734;777;9;76
45;35;10;90;81;916;969;4;28
95;30;30;90;99;387;456;1;88
95;35;20;90;97;0;1088;1;71
53;30;10;90;56;0;1122;7;48
92;30;10;90;97;0;1090;5;54
53;35;50;90;61;353;412;2;42
45;65;20;90;5;0;1130;5;17
90;35;10;90;53;203;260;3;53
88;30;10;90;9;574;643;7;56
88;35;20;90;44;109;170;10;55
87;30;10;90;77;668;731;10;37
85;25;10;90;45;769;820;3;10
85;35;30;90;67;0;1098;10;18
75;55;20;90;55;0;1110;5;20
72;55;10;90;6;0;1113;5;26
70;58;20;90;80;458;523;6;62
68;60;30;90;47;0;1116;10;12
66;55;10;90;74;0;1119;3;71
65;55;20;90;25;85;144;9;76
65;60;30;90;43;645;708;6;21
63;58;10;90;24;0;1121;2;53
60;55;10;90;51;0;1125;5;79
60;60;10;90;12;0;1123;6;55
67;85;20;90;18;368;441;9;76
65;85;40;90;99;475;518;7;87
65;82;10;90;62;0;1105;9;55
62;80;30;90;74;0;1108;5;33
60;80;10;90;38;0;1109;9;89
60;85;30;90;83;0;1105;9;82
58;75;20;90;85;0;1115;4;75
55;80;10;90;19;743;820;4;86
55;85;20;90;65;647;726;6;89
