X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
35;35;1;1;1;1;230;8;88
41;49;10;10;49;0;204;7;28
35;17;7;10;75;0;202;10;25
55;45;13;10;83;0;197;2;78
55;20;19;10;12;149;159;5;57
15;30;26;10;44;0;199;5;77
25;30;3;10;21;99;109;4;39
20;50;5;10;78;0;198;1;53
10;43;9;10;25;95;105;5;38
55;60;16;10;89;97;107;3;65
30;60;16;10;53;124;134;3;44
20;65;12;10;59;67;77;7;24
50;35;19;10;88;0;205;4;49
30;25;23;10;22;159;169;2;50
15;10;20;10;92;0;187;7;81
30;5;8;10;57;61;71;8;84
10;20;19;10;70;0;190;3;70
5;30;2;10;77;157;167;2;18
20;40;12;10;47;0;204;4;27
15;60;17;10;5;0;187;2;51
45;65;9;10;26;0;188;3;30
45;20;11;10;43;0;201;7;41
45;10;18;10;0;97;107;4;64
55;5;29;10;76;68;78;4;64
65;35;3;10;91;0;190;9;18
65;20;6;10;85;172;182;9;87
45;30;17;10;97;0;208;2;18
35;40;16;10;49;37;47;6;29
41;37;16;10;2;0;213;1;26
64;42;9;10;24;0;190;9;54
40;60;21;10;5;71;81;10;48
31;52;27;10;69;0;202;3;50
35;69;23;10;53;0;186;4;37
53;52;11;10;52;37;47;5;57
65;55;14;10;43;0;183;8;32
63;65;8;10;24;143;153;6;33
2;60;5;10;26;41;51;4;20
20;20;8;10;48;0;198;2;42
5;5;16;10;76;83;93;1;30
60;12;31;10;83;44;54;9;70
40;25;9;10;64;85;95;2;15
42;7;5;10;38;97;107;2;70
24;12;5;10;93;31;41;3;24
23;3;7;10;91;0;185;3;90
11;14;18;10;57;69;79;8;88
6;38;16;10;42;32;42;8;44
2;48;1;10;91;0;184;4;36
8;56;27;10;6;0;185;1;19
13;52;36;10;83;0;192;8;88
6;68;30;10;58;108;118;7;28
47;47;13;10;8;0;203;10;25
49;58;10;10;19;0;193;2;78
27;43;9;10;36;0;208;5;57
37;31;14;10;72;95;105;5;77
57;29;18;10;75;0;197;4;39
63;23;2;10;53;136;146;1;53
53;12;6;10;74;130;140;5;38
32;12;7;10;40;0;196;3;65
36;26;18;10;4;200;210;3;44
21;24;28;10;31;0;202;7;24
17;34;3;10;65;0;201;4;49
12;24;13;10;10;0;194;2;50
24;58;19;10;89;58;68;7;81
27;69;10;10;50;0;185;8;84
15;77;9;10;30;73;83;3;70
62;77;20;10;68;51;61;2;18
49;73;25;10;97;127;137;4;27
67;5;25;10;92;83;93;2;51
56;39;36;10;68;142;152;3;30
37;47;6;10;64;50;60;7;41
37;56;5;10;32;182;192;4;64
57;68;15;10;77;0;180;4;64
47;16;25;10;49;0;197;9;18
44;17;9;10;32;0;199;9;87
46;13;8;10;76;149;159;2;18
49;11;18;10;61;0;192;6;29
49;42;13;10;94;73;83;1;26
53;43;14;10;36;179;189;9;54
61;52;3;10;71;96;106;10;48
57;48;23;10;52;92;102;3;50
56;37;6;10;20;182;192;4;37
55;54;26;10;13;0;192;5;57
15;47;16;10;85;0;196;8;32
14;37;11;10;50;0;198;6;33
11;31;7;10;20;101;111;4;20
16;22;41;10;77;0;196;2;42
4;18;35;10;25;0;184;1;30
28;18;26;10;92;93;103;9;70
26;52;9;10;6;74;84;2;15
26;35;15;10;74;0;211;2;70
31;67;3;10;12;0;187;3;24
15;19;1;10;73;0;194;3;90
22;22;2;10;55;18;28;8;88
18;24;22;10;80;188;198;8;44
26;27;27;10;46;0;207;4;36
25;24;20;10;10;0;205;1;19
